type_name,STAFF,date,upstairs,trip_room,nso_room,rented,in_repair,total,track_easy,comparison,notes
SLEEPING BAG - MUMMY (0 DEGREE),Sophia,2/28/18,26,0,0,0,0,26,14,EXCESS,
SLEEPING BAG - MUMMY (20 DEGREE),Sophia,2/28/18,10,0,31,1,0,42,35,EXCESS,
SLEEPING BAG - RECTANGLE,Sophia,2/28/18,0,0,56,0,0,56,56,EQUAL,
SLEEPING BAG - FLEECE,Sophia,2/28/18,5,0,4,0,0,9,12,LESS,
SLEEPING PAD,Sophia,2/28/18,32,0,96,1,0,129,137,LESS,
TENT - 3 PERSON,HOANG,2/28/18,15,20,42,0,4,81,58,EXCESS,
TENT - 4 PERSON,HOANG,2/28/18,3,0,8,0,5,16,20,LESS,
TENT - 5 PERSON,Craig,2/28/18,0,0,1,0,3,4,5,LESS,"1 in repair upstairs, 2 downstairs"
TENT - 6 PERSON,HOANG,2/28/18,8,0,22,0,12,42,45,LESS,
TENT - 9 PERSON,Craig,2/28/18,0,0,3,0,0,3,5,LESS,
TENT - 10 PERSON,Craig,2/28/18,0,0,0,0,0,0,1,LESS,
TARP,Craig,2/28/18,4,6,12,0,0,22,30,LESS,Coolers?